"","ID","Name","Year","Rank","Average","Bayes.average","Users.rated"
"1",174430,"Gloomhaven",2017,1,8.68,8.446,53972
"2",224517,"Brass: Birmingham",2018,2,8.65,8.432,32895
"3",161936,"Pandemic Legacy: Season 1",2015,3,8.57,8.415,48571
"4",342942,"Ark Nova",2021,4,8.57,8.28,22224
"5",233078,"Twilight Imperium: Fourth Edition",2017,5,8.65,8.252,19106
"6",167791,"Terraforming Mars",2016,6,8.39,8.247,84639
"7",291457,"Gloomhaven: Jaws of the Lion",2020,7,8.56,8.235,24655
"8",187645,"Star Wars: Rebellion",2016,8,8.42,8.169,28422
"9",115746,"War of the Ring: Second Edition",2011,9,8.52,8.161,17831
"10",162886,"Spirit Island",2017,10,8.37,8.157,40317
"11",220308,"Gaia Project",2017,11,8.43,8.157,22784
"12",182028,"Through the Ages: A New Story of Civilization",2015,12,8.34,8.112,28273
"13",316554,"Dune: Imperium",2020,13,8.36,8.109,27854
"14",193738,"Great Western Trail",2016,14,8.26,8.093,36822
"15",12333,"Twilight Struggle",2005,15,8.26,8.093,45464
"16",169786,"Scythe",2016,16,8.19,8.034,72573
"17",84876,"The Castles of Burgundy",2011,17,8.13,8.007,55457
"18",167355,"Nemesis",2018,18,8.33,7.98,23496
"19",173346,"7 Wonders Duel",2015,19,8.1,7.975,79805
"20",28720,"Brass: Lancashire",2007,20,8.19,7.967,22551
"21",124361,"Concordia",2013,21,8.11,7.961,35458
"22",177736,"A Feast for Odin",2016,22,8.19,7.951,23966
"23",120677,"Terra Mystica",2012,23,8.1,7.94,44516
"24",246900,"Eclipse: Second Dawn for the Galaxy",2020,24,8.55,7.939,8939
"25",266507,"Clank!: Legacy – Acquisitions Incorporated",2019,25,8.62,7.933,7091
"26",266192,"Wingspan",2019,26,8.08,7.931,71493
"27",205637,"Arkham Horror: The Card Game",2016,27,8.15,7.92,37824
"28",237182,"Root",2018,28,8.09,7.895,39807
"29",312484,"Lost Ruins of Arnak",2020,29,8.09,7.883,29707
"30",164928,"Orléans",2014,30,8.07,7.881,27554
"31",199792,"Everdell",2018,31,8.07,7.875,39944
"32",183394,"Viticulture Essential Edition",2015,32,8.03,7.875,41153
"33",96848,"Mage Knight Board Game",2011,33,8.09,7.866,31129
"34",251247,"Barrage",2019,34,8.21,7.837,13047
"35",175914,"Food Chain Magnate",2015,35,8.09,7.826,17578
"36",285774,"Marvel Champions: The Card Game",2019,36,8.17,7.815,18717
"37",192135,"Too Many Bones",2017,37,8.38,7.81,9709
"38",3076,"Puerto Rico",2002,38,7.94,7.81,67809
"39",324856,"The Crew: Mission Deep Sea",2021,39,8.3,7.803,9015
"40",102794,"Caverna: The Cave Farmers",2013,40,7.98,7.802,31759
"41",256960,"Pax Pamir: Second Edition",2019,41,8.29,7.799,9778
"42",170216,"Blood Rage",2015,42,7.97,7.795,41815
"43",31260,"Agricola",2007,43,7.9,7.783,68983
"44",247763,"Underwater Cities",2018,44,8.08,7.78,15656
"45",185343,"Anachrony",2017,45,8.11,7.769,15470
"46",221107,"Pandemic Legacy: Season 2",2017,46,8.07,7.754,15118
"47",205059,"Mansions of Madness: Second Edition",2016,47,7.99,7.751,31944
"48",276025,"Maracaibo",2019,48,8.1,7.75,13331
"49",184267,"On Mars",2020,49,8.22,7.743,9957
"50",295947,"Cascadia",2021,50,8,7.73,18876
"51",284083,"The Crew: The Quest for Planet Nine",2019,51,7.89,7.73,33195
"52",126163,"Tzolk'in: The Mayan Calendar",2012,52,7.88,7.727,35951
"53",2651,"Power Grid",2004,53,7.83,7.722,61513
"54",341169,"Great Western Trail (Second Edition)",2021,54,8.48,7.718,5645
"55",521,"Crokinole",1876,55,7.98,7.712,15253
"56",314040,"Pandemic Legacy: Season 0",2020,56,8.5,7.709,5466
"57",216132,"Clans of Caledonia",2017,57,7.96,7.706,18432
"58",161533,"Lisboa",2017,58,8.19,7.704,9222
"59",164153,"Star Wars: Imperial Assault",2014,59,7.98,7.699,23111
"60",35677,"Le Havre",2008,60,7.86,7.699,29643
"61",244521,"The Quacks of Quedlinburg",2018,61,7.85,7.694,38246
"62",55690,"Kingdom Death: Monster",2015,62,8.54,7.693,8830
"63",209010,"Mechs vs. Minions",2016,63,7.99,7.69,16222
"64",125153,"The Gallerist",2015,64,8.04,7.687,12609
"65",266810,"Paladins of the West Kingdom",2019,65,8.01,7.677,14199
"66",124742,"Android: Netrunner",2012,66,7.88,7.662,28780
"67",230802,"Azul",2017,67,7.77,7.659,73953
"68",284378,"Kanban EV",2020,68,8.5,7.656,5051
"69",72125,"Eclipse",2011,69,7.85,7.654,27521
"70",191189,"Aeon's End",2016,70,7.96,7.646,16809
"71",28143,"Race for the Galaxy",2007,71,7.75,7.644,51812
"72",255984,"Sleeping Gods",2021,72,8.39,7.643,6018
"73",25613,"Through the Ages: A Story of Civilization",2006,73,7.88,7.641,18788
"74",201808,"Clank!: A Deck-Building Adventure",2016,74,7.8,7.641,36636
"75",182874,"Grand Austria Hotel",2015,75,7.91,7.638,17068
"76",157354,"Five Tribes",2014,76,7.78,7.633,37856
"77",180263,"The 7th Continent",2017,77,7.94,7.633,20513
"78",159675,"Fields of Arle",2014,78,8.05,7.632,9917
"79",200680,"Agricola (Revised Edition)",2016,79,7.98,7.631,14271
"80",229853,"Teotihuacan: City of Gods",2018,80,7.9,7.625,17357
"81",121921,"Robinson Crusoe: Adventures on the Cursed Island",2012,81,7.79,7.617,39925
"82",171623,"The Voyages of Marco Polo",2015,82,7.81,7.614,23256
"83",110327,"Lords of Waterdeep",2012,83,7.74,7.607,51683
"84",68448,"7 Wonders",2010,84,7.71,7.606,96151
"85",62219,"Dominant Species",2010,85,7.82,7.596,19656
"86",264220,"Tainted Grail: The Fall of Avalon",2019,86,8.18,7.59,10215
"87",236457,"Architects of the West Kingdom",2018,87,7.78,7.572,24250
"88",253344,"Cthulhu: Death May Die",2019,88,8.16,7.565,8255
"89",93,"El Grande",1995,89,7.74,7.565,25974
"90",317985,"Beyond the Sun",2020,90,7.97,7.559,9706
"91",122515,"Keyflower",2012,91,7.75,7.558,21396
"92",18602,"Caylus",2005,92,7.74,7.553,28257
"93",37111,"Battlestar Galactica: The Board Game",2008,93,7.73,7.551,35108
"94",172386,"Mombasa",2015,94,7.87,7.543,12475
"95",40834,"Dominion: Intrigue",2009,95,7.7,7.536,32416
"96",73439,"Troyes",2010,96,7.73,7.535,21702
"97",170042,"Raiders of the North Sea",2015,97,7.76,7.534,20845
"98",146021,"Eldritch Horror",2013,98,7.77,7.531,33723
"99",269385,"The Lord of the Rings: Journeys in Middle-Earth",2019,99,7.96,7.531,13727
"100",42,"Tigris & Euphrates",1997,100,7.7,7.528,27424
"101",203993,"Lorenzo il Magnifico",2016,101,7.86,7.527,12315
"102",12493,"Twilight Imperium: Third Edition",2005,102,7.81,7.527,18992
"103",225694,"Decrypto",2018,103,7.78,7.526,17521
"104",231733,"Obsession",2018,104,8.24,7.524,5902
"105",155821,"Inis",2016,105,7.82,7.524,16840
"106",144733,"Russian Railroads",2013,106,7.75,7.513,16900
"107",163412,"Patchwork",2014,107,7.62,7.512,58045
"108",205896,"Rising Sun",2018,108,7.8,7.508,19228
"109",279537,"The Search for Planet X",2020,109,8.05,7.508,7215
"110",163068,"Trickerion: Legends of Illusion",2015,110,7.96,7.508,9066
"111",102680,"Trajan",2011,111,7.75,7.505,16524
"112",281259,"The Isle of Cats",2019,112,7.8,7.502,16492
"113",36218,"Dominion",2008,113,7.6,7.489,85435
"114",233371,"Clank! In! Space!: A Deck-Building Adventure",2017,114,7.82,7.487,12458
"115",218417,"Aeon's End: War Eternal",2017,115,8.31,7.486,4821
"116",178900,"Codenames",2015,116,7.57,7.48,81426
"117",175640,"Vinhos: Deluxe Edition",2016,117,8.14,7.476,5789
"118",132531,"Roll for the Galaxy",2014,118,7.62,7.474,29884
"119",172287,"Champions of Midgard",2015,119,7.75,7.473,15961
"120",196340,"Yokohama",2016,120,7.83,7.47,10712
"121",198928,"Pandemic: Iberia",2016,121,7.9,7.47,9624
"122",263918,"Cartographers",2019,122,7.67,7.469,22713
"123",175155,"Forbidden Stars",2015,123,7.97,7.462,8540
"124",30549,"Pandemic",2008,124,7.56,7.46,115958
"125",266524,"PARKS",2019,125,7.72,7.457,18613
"126",262712,"Res Arcana",2019,126,7.7,7.454,17865
"127",4098,"Age of Steam",2002,127,7.81,7.451,10131
"128",43015,"Hansa Teutonica",2009,128,7.71,7.45,13931
"129",127023,"Kemet",2012,129,7.68,7.447,18128
"130",2511,"Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases",1982,130,7.67,7.447,19772
"131",256916,"Concordia Venus",2018,131,8.29,7.446,4279
"132",118048,"Targi",2012,132,7.63,7.439,20055
"133",274364,"Watergate",2019,133,7.84,7.439,9329
"134",233398,"Endeavor: Age of Sail",2018,134,7.93,7.433,8228
"135",161970,"Alchemists",2014,135,7.66,7.433,21036
"136",147020,"Star Realms",2014,136,7.57,7.431,41348
"137",146652,"Legendary Encounters: An Alien Deck Building Game",2014,137,7.77,7.428,12595
"138",271324,"It's a Wonderful World",2019,138,7.74,7.426,13607
"139",217372,"The Quest for El Dorado",2017,139,7.64,7.426,19315
"140",34635,"Stone Age",2008,140,7.54,7.424,49679
"141",308765,"Praga Caput Regni",2020,141,8,7.421,6618
"142",103885,"Star Wars: X-Wing Miniatures Game",2012,142,7.65,7.418,24336
"143",14996,"Ticket to Ride: Europe",2005,143,7.54,7.415,68387
"144",220877,"Rajas of the Ganges",2017,144,7.73,7.412,12098
"145",254640,"Just One",2018,145,7.6,7.409,20680
"146",233867,"Welcome To...",2018,146,7.57,7.409,25945
"147",77423,"The Lord of the Rings: The Card Game",2011,147,7.66,7.407,23070
"148",148949,"Istanbul",2014,148,7.56,7.406,29053
"149",82222,"Xia: Legends of a Drift System",2014,149,7.88,7.403,9063
"150",283948,"Marco Polo II: In the Service of the Khan",2019,150,8.02,7.399,5932
"151",244522,"That's Pretty Clever!",2018,151,7.6,7.396,20556
"152",296151,"Viscounts of the West Kingdom",2020,152,7.91,7.392,7534
"153",9609,"War of the Ring",2004,153,7.78,7.391,10410
"154",265188,"Glen More II: Chronicles",2019,154,7.95,7.39,6575
"155",43111,"Chaos in the Old World",2009,155,7.67,7.389,15115
"156",463,"Magic: The Gathering",1993,156,7.56,7.388,36676
"157",287954,"Azul: Summer Pavilion",2019,157,7.7,7.385,12691
"158",54043,"Jaipur",2009,158,7.5,7.383,45507
"159",104162,"Descent: Journeys in the Dark (Second Edition)",2012,159,7.64,7.383,24443
"160",328871,"Terraforming Mars: Ares Expedition",2021,160,7.72,7.372,11223
"161",10630,"Memoir '44",2004,161,7.55,7.369,28375
"162",188920,"This War of Mine: The Board Game",2017,162,7.79,7.368,11351
"163",271055,"Dwellings of Eldervale",2020,163,8.23,7.367,4528
"164",282524,"Horrified",2019,164,7.71,7.367,12797
"165",189932,"Tyrants of the Underdark",2016,165,7.91,7.361,7194
"166",39463,"Cosmic Encounter",2008,166,7.54,7.36,30652
"167",17133,"Railways of the World",2005,167,7.67,7.36,11826
"168",249259,"War Chest",2018,168,7.9,7.358,7320
"169",128882,"The Resistance: Avalon",2012,169,7.54,7.357,30833
"170",268864,"Undaunted: Normandy",2019,170,7.83,7.356,8560
"171",155426,"Castles of Mad King Ludwig",2014,171,7.53,7.355,24227
"172",70149,"Ora et Labora",2011,172,7.7,7.354,10503
"173",199561,"Sagrada",2017,173,7.5,7.351,34846
"174",150376,"Dead of Winter: A Crossroads Game",2014,174,7.5,7.351,43625
"175",103343,"A Game of Thrones: The Board Game (Second Edition)",2011,175,7.56,7.346,32087
"176",209418,"Dominion (Second Edition)",2016,176,7.88,7.343,7526
"177",25021,"Sekigahara: The Unification of Japan",2011,177,8.01,7.342,5241
"178",31627,"Ticket to Ride: Nordic Countries",2007,178,7.63,7.336,13120
"179",123260,"Suburbia",2012,179,7.49,7.335,23766
"180",14105,"Commands & Colors: Ancients",2006,180,7.77,7.335,8469
"181",221194,"Dinosaur Island",2017,181,7.62,7.33,14711
"182",104006,"Village",2011,182,7.5,7.325,22097
"183",171131,"Captain Sonar",2016,183,7.54,7.324,19054
