"","ID","Name","Year","Rank","Average","Bayes.average","Users.rated"
"1",174430,"Gloomhaven",2017,1,8.71,8.475,51433
"2",161936,"Pandemic Legacy: Season 1",2015,2,8.58,8.427,47202
"3",224517,"Brass: Birmingham",2018,3,8.66,8.427,29727
"4",291457,"Gloomhaven: Jaws of the Lion",2020,4,8.6,8.26,21379
"5",167791,"Terraforming Mars",2016,5,8.4,8.257,80493
"6",233078,"Twilight Imperium: Fourth Edition",2017,6,8.65,8.246,17822
"7",342942,"Ark Nova",2021,7,8.65,8.225,13462
"8",187645,"Star Wars: Rebellion",2016,8,8.42,8.168,27267
"9",220308,"Gaia Project",2017,9,8.45,8.164,21395
"10",162886,"Spirit Island",2017,10,8.37,8.149,36963
"11",115746,"War of the Ring: Second Edition",2011,11,8.52,8.147,16833
"12",182028,"Through the Ages: A New Story of Civilization",2015,12,8.36,8.125,27196
"13",193738,"Great Western Trail",2016,13,8.28,8.109,35381
"14",12333,"Twilight Struggle",2005,14,8.27,8.102,44496
"15",316554,"Dune: Imperium",2020,15,8.33,8.057,22840
"16",169786,"Scythe",2016,16,8.2,8.048,69504
"17",84876,"The Castles of Burgundy",2011,17,8.13,8.007,53533
"18",167355,"Nemesis",2018,18,8.35,7.984,21075
"19",173346,"7 Wonders Duel",2015,19,8.1,7.98,75731
"20",28720,"Brass: Lancashire",2007,20,8.19,7.966,21889
"21",124361,"Concordia",2013,21,8.12,7.965,33874
"22",177736,"A Feast for Odin",2016,22,8.2,7.955,22608
"23",120677,"Terra Mystica",2012,23,8.11,7.95,43436
"24",266192,"Wingspan",2019,24,8.09,7.937,65071
"25",205637,"Arkham Horror: The Card Game",2016,25,8.15,7.922,36073
"26",266507,"Clank!: Legacy – Acquisitions Incorporated",2019,26,8.64,7.903,6257
"27",246900,"Eclipse: Second Dawn for the Galaxy",2020,27,8.59,7.901,7483
"28",237182,"Root",2018,28,8.09,7.892,36495
"29",183394,"Viticulture Essential Edition",2015,29,8.04,7.883,38687
"30",199792,"Everdell",2018,30,8.08,7.882,35445
"31",164928,"Orléans",2014,31,8.07,7.88,26347
"32",312484,"Lost Ruins of Arnak",2020,32,8.1,7.873,25078
"33",96848,"Mage Knight Board Game",2011,33,8.09,7.87,30398
"34",175914,"Food Chain Magnate",2015,34,8.11,7.831,16769
"35",3076,"Puerto Rico",2002,35,7.95,7.819,66931
"36",285774,"Marvel Champions: The Card Game",2019,36,8.19,7.817,16930
"37",251247,"Barrage",2019,37,8.22,7.816,11392
"38",102794,"Caverna: The Cave Farmers",2013,38,7.99,7.812,30897
"39",192135,"Too Many Bones",2017,39,8.41,7.811,8903
"40",170216,"Blood Rage",2015,40,7.97,7.801,40187
"41",31260,"Agricola",2007,41,7.91,7.793,67851
"42",256960,"Pax Pamir: Second Edition",2019,42,8.33,7.789,8620
"43",247763,"Underwater Cities",2018,43,8.09,7.78,14503
"44",276025,"Maracaibo",2019,44,8.14,7.769,12371
"45",221107,"Pandemic Legacy: Season 2",2017,45,8.08,7.767,14563
"46",185343,"Anachrony",2017,46,8.11,7.765,14606
"47",205059,"Mansions of Madness: Second Edition",2016,47,8,7.762,30585
"48",284083,"The Crew: The Quest for Planet Nine",2019,48,7.92,7.75,30165
"49",126163,"Tzolk'in: The Mayan Calendar",2012,49,7.89,7.734,34860
"50",184267,"On Mars",2020,50,8.24,7.732,9081
"51",2651,"Power Grid",2004,51,7.84,7.729,60384
"52",324856,"The Crew: Mission Deep Sea",2021,52,8.36,7.721,6461
"53",216132,"Clans of Caledonia",2017,53,7.97,7.713,17825
"54",35677,"Le Havre",2008,54,7.87,7.708,29066
"55",55690,"Kingdom Death: Monster",2015,55,8.57,7.707,8509
"56",164153,"Star Wars: Imperial Assault",2014,56,7.99,7.707,22596
"57",209010,"Mechs vs. Minions",2016,57,8.01,7.704,15796
"58",521,"Crokinole",1876,58,7.98,7.699,14450
"59",244521,"The Quacks of Quedlinburg",2018,59,7.85,7.692,34896
"60",314040,"Pandemic Legacy: Season 0",2020,60,8.56,7.692,4783
"61",161533,"Lisboa",2017,61,8.19,7.688,8604
"62",125153,"The Gallerist",2015,62,8.05,7.686,12003
"63",266810,"Paladins of the West Kingdom",2019,63,8.02,7.675,13023
"64",295947,"Cascadia",2021,64,8.04,7.672,12529
"65",180263,"The 7th Continent",2017,65,7.98,7.671,19899
"66",230802,"Azul",2017,66,7.78,7.67,69560
"67",72125,"Eclipse",2011,67,7.86,7.665,27218
"68",124742,"Android: Netrunner",2012,68,7.87,7.663,28357
"69",191189,"Aeon's End",2016,69,7.98,7.658,15663
"70",25613,"Through the Ages: A Story of Civilization",2006,70,7.89,7.654,18605
"71",28143,"Race for the Galaxy",2007,71,7.76,7.648,50675
"72",201808,"Clank!: A Deck-Building Adventure",2016,72,7.81,7.645,34840
"73",157354,"Five Tribes",2014,73,7.78,7.635,36646
"74",159675,"Fields of Arle",2014,74,8.06,7.635,9581
"75",229853,"Teotihuacan: City of Gods",2018,75,7.91,7.631,16509
"76",121921,"Robinson Crusoe: Adventures on the Cursed Island",2012,76,7.8,7.63,38826
"77",200680,"Agricola (Revised Edition)",2016,77,7.98,7.626,13233
"78",171623,"The Voyages of Marco Polo",2015,78,7.82,7.623,22682
"79",182874,"Grand Austria Hotel",2015,79,7.89,7.618,15938
"80",68448,"7 Wonders",2010,80,7.72,7.616,93731
"81",110327,"Lords of Waterdeep",2012,81,7.75,7.612,50528
"82",62219,"Dominant Species",2010,82,7.83,7.605,19299
"83",284378,"Kanban EV",2020,83,8.56,7.591,4159
"84",264220,"Tainted Grail: The Fall of Avalon",2019,84,8.2,7.586,9384
"85",236457,"Architects of the West Kingdom",2018,85,7.79,7.579,22882
"86",93,"El Grande",1995,86,7.74,7.57,25430
"87",122515,"Keyflower",2012,87,7.76,7.567,20886
"88",18602,"Caylus",2005,88,7.74,7.56,27948
"89",37111,"Battlestar Galactica: The Board Game",2008,89,7.74,7.557,34654
"90",255984,"Sleeping Gods",2021,90,8.44,7.553,4654
"91",73439,"Troyes",2010,91,7.74,7.544,21114
"92",172386,"Mombasa",2015,92,7.87,7.544,12136
"93",40834,"Dominion: Intrigue",2009,93,7.7,7.543,31919
"94",12493,"Twilight Imperium: Third Edition",2005,94,7.82,7.542,18851
"95",170042,"Raiders of the North Sea",2015,95,7.76,7.538,19900
"96",269385,"The Lord of the Rings: Journeys in Middle-Earth",2019,96,7.98,7.537,12720
"97",146021,"Eldritch Horror",2013,97,7.77,7.537,32785
"98",203993,"Lorenzo il Magnifico",2016,98,7.88,7.533,11724
"99",42,"Tigris & Euphrates",1997,99,7.7,7.528,26916
"100",225694,"Decrypto",2018,100,7.79,7.523,16376
"101",317985,"Beyond the Sun",2020,101,8.01,7.523,7874
"102",144733,"Russian Railroads",2013,102,7.76,7.52,16491
"103",163412,"Patchwork",2014,103,7.62,7.519,55923
"104",281259,"The Isle of Cats",2019,104,7.84,7.516,14680
"105",205896,"Rising Sun",2018,105,7.81,7.513,18608
"106",155821,"Inis",2016,106,7.82,7.513,15838
"107",102680,"Trajan",2011,107,7.76,7.508,16129
"108",253344,"Cthulhu: Death May Die",2019,108,8.14,7.501,7028
"109",233371,"Clank! In! Space!: A Deck-Building Adventure",2017,109,7.84,7.495,11827
"110",163068,"Trickerion: Legends of Illusion",2015,110,7.96,7.493,8508
"111",36218,"Dominion",2008,111,7.61,7.492,83954
"112",178900,"Codenames",2015,112,7.58,7.489,78595
"113",218417,"Aeon's End: War Eternal",2017,113,8.34,7.489,4553
"114",132531,"Roll for the Galaxy",2014,114,7.63,7.486,29245
"115",198928,"Pandemic: Iberia",2016,115,7.91,7.479,9300
"116",172287,"Champions of Midgard",2015,116,7.75,7.477,15440
"117",263918,"Cartographers",2019,117,7.69,7.476,20476
"118",196340,"Yokohama",2016,118,7.83,7.476,10353
"119",30549,"Pandemic",2008,119,7.57,7.471,113228
"120",266524,"PARKS",2019,120,7.76,7.47,16336
"121",175155,"Forbidden Stars",2015,121,7.97,7.468,8321
"122",175640,"Vinhos Deluxe Edition",2016,122,8.15,7.466,5434
"123",262712,"Res Arcana",2019,123,7.73,7.465,16429
